cbsa,cbsa_name,year,num_quant,min,jobs,cluster_jobs,tr_ct,high_ct,cluster_ct,cluster_share,job_share
35380,"New Orleans-Metairie, LA",2010,95th percentile,0,502173,165511,398,0,19,0.04773869346733668,32.9589603582829
35380,"New Orleans-Metairie, LA",2010,80th percentile,0,502173,265161,398,0,79,0.1984924623115578,52.80271938156771
35380,"New Orleans-Metairie, LA",2015,90th percentile,0,549237,230886,397,0,39,0.0982367758186398,42.03759032985761
35380,"New Orleans-Metairie, LA",2015,95th percentile,0,549237,159683,397,0,19,0.047858942065491183,29.073605747609864
35380,"New Orleans-Metairie, LA",2015,80th percentile,0,549237,291366,397,0,79,0.19899244332493704,53.04923011377603
35620,"New York-Newark-Jersey City, NY-NJ-PA",2010,90th percentile,0,8428313,3357933,4660,0,466,0.1,39.84110461963147
35620,"New York-Newark-Jersey City, NY-NJ-PA",2010,95th percentile,0,8428313,2860313,4660,0,233,0.05,33.936957490781374
35620,"New York-Newark-Jersey City, NY-NJ-PA",2010,80th percentile,0,8428313,4247370,4660,0,932,0.2,50.39407055718031
35620,"New York-Newark-Jersey City, NY-NJ-PA",2015,90th percentile,0,9089888,3471952,4671,0,467,0.09997859130807107,38.19576214800446
35620,"New York-Newark-Jersey City, NY-NJ-PA",2015,95th percentile,0,9089888,2854631,4671,0,233,0.04988225219439092,31.40446834988506
35620,"New York-Newark-Jersey City, NY-NJ-PA",2015,80th percentile,0,9089888,4264174,4671,0,934,0.19995718261614215,46.911183064081754
35840,"North Port-Sarasota-Bradenton, FL",2010,90th percentile,0,219985,74892,172,0,17,0.09883720930232558,34.044139373139075
35840,"North Port-Sarasota-Bradenton, FL",2010,95th percentile,0,219985,52087,172,0,8,0.046511627906976744,23.677523467509147
35840,"North Port-Sarasota-Bradenton, FL",2010,80th percentile,0,219985,108263,172,0,34,0.19767441860465115,49.21381003250222
35840,"North Port-Sarasota-Bradenton, FL",2015,90th percentile,0,266170,78227,172,0,17,0.09883720930232558,29.3898636209941
35840,"North Port-Sarasota-Bradenton, FL",2015,95th percentile,0,266170,51946,172,0,8,0.046511627906976744,19.516098733891873
35840,"North Port-Sarasota-Bradenton, FL",2015,80th percentile,0,266170,118934,172,0,34,0.19767441860465115,44.683472968403656
36260,"Ogden-Clearfield, UT",2010,90th percentile,0,195309,52593,117,0,11,0.09401709401709402,26.92809855152604
36260,"Ogden-Clearfield, UT",2010,95th percentile,0,195309,34895,117,0,5,0.042735042735042736,17.866560168758223
36260,"Ogden-Clearfield, UT",2010,80th percentile,0,195309,91141,117,0,23,0.19658119658119658,46.66502823730601
36260,"Ogden-Clearfield, UT",2015,90th percentile,0,221710,54763,117,0,11,0.09401709401709402,24.700284154977222
36260,"Ogden-Clearfield, UT",2015,95th percentile,0,221710,34670,117,0,5,0.042735042735042736,15.637544540165079
36260,"Ogden-Clearfield, UT",2015,80th percentile,0,221710,106062,117,0,23,0.19658119658119658,47.8381669748771
36420,"Oklahoma City, OK",2010,90th percentile,0,546958,200963,363,0,36,0.09917355371900827,36.74194362272789
36420,"Oklahoma City, OK",2010,95th percentile,0,546958,139709,363,0,18,0.049586776859504134,25.542911887201576
36420,"Oklahoma City, OK",2010,80th percentile,0,546958,291245,363,0,72,0.19834710743801653,53.248147024085945
36420,"Oklahoma City, OK",2015,90th percentile,0,609953,212953,363,0,36,0.09917355371900827,34.91301788826352
36420,"Oklahoma City, OK",2015,95th percentile,0,609953,145758,363,0,18,0.049586776859504134,23.896595311442027
36420,"Oklahoma City, OK",2015,80th percentile,0,609953,325790,363,0,72,0.19834710743801653,53.41231209617791
36540,"Omaha-Council Bluffs, NE-IA",2010,90th percentile,0,435914,181947,255,0,25,0.09803921568627451,41.739196263483166
36540,"Omaha-Council Bluffs, NE-IA",2010,95th percentile,0,435914,97477,255,0,12,0.047058823529411764,22.36152085044298
36540,"Omaha-Council Bluffs, NE-IA",2010,80th percentile,0,435914,240027,255,0,51,0.2,55.062925255899096
36540,"Omaha-Council Bluffs, NE-IA",2015,90th percentile,0,471688,190321,255,0,25,0.09803921568627451,40.34891708078221
36540,"Omaha-Council Bluffs, NE-IA",2015,95th percentile,0,471688,99855,255,0,12,0.047058823529411764,21.169713878665558
36540,"Omaha-Council Bluffs, NE-IA",2015,80th percentile,0,471688,255848,255,0,51,0.2,54.24093892573056
36740,"Orlando-Kissimmee-Sanford, FL",2010,90th percentile,0,978967,380356,389,0,38,0.09768637532133675,38.852790747798444
36740,"Orlando-Kissimmee-Sanford, FL",2010,95th percentile,0,978967,240357,389,0,19,0.04884318766066838,24.55210441209969
36740,"Orlando-Kissimmee-Sanford, FL",2010,80th percentile,0,978967,554542,389,0,77,0.19794344473007713,56.64562748284672
36740,"Orlando-Kissimmee-Sanford, FL",2015,90th percentile,0,1157075,479781,389,0,38,0.09768637532133675,41.46498714430785
36740,"Orlando-Kissimmee-Sanford, FL",2015,95th percentile,0,1157075,351852,389,0,19,0.04884318766066838,30.408746191906317
